"No.","Time","Source","Destination","Protocol","Length","Info"
"2310","11.857173","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2311","11.857560","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2312","11.857560","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2313","11.862799","192.168.43.144","114.125.240.19","UDP","81","57846  >  443 Len=39"
"2314","11.864011","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2315","11.872794","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2316","11.872999","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2317","11.873539","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2318","11.873539","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2319","11.873539","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2320","11.873539","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2321","11.879220","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2322","11.879220","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2323","11.879220","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2324","11.879220","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2325","11.882778","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2326","11.882980","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2327","11.883565","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2328","11.883565","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2329","11.883565","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2330","11.883565","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2331","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2332","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2333","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2334","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2335","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2336","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2337","11.884809","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2338","11.885075","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
